release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
89.6,-1.46,54.19,5.6,2,1,1,1.0,1,0,0.41,0.59,0.2,2.81,0,0,1,0,6,0.0,0.0,0.0,90.3,2446,6.3,169,3
88.9,-1.58,54.04,5.63,11,1,1,0.0,0,0,0.41,0.49,-1.19,3.21,0,0,1,0,6,0.0,0.0,0.0,90.0,2436,6.5,171,3
90.9,-1.42,54.02,5.68,9,0,1,1.0,0,2,0.21,0.44,0.68,1.89,0,0,0,2,5,0.0,0.0,0.0,91.7,2489,6.5,161,3
90.7,-1.46,54.07,5.65,8,0,1,1.0,3,2,0.32,0.3,-0.02,1.88,0,0,0,1,5,0.0,0.0,0.0,91.5,2612,6.4,168,3
91.9,-1.4,53.81,5.66,14,0,1,0.0,2,2,-0.03,0.39,0.81,0.65,0,0,0,1,5,0.0,0.0,0.0,92.9,2549,6.7,185,3
91.8,-1.42,54.22,5.66,14,1,1,0.0,1,2,0.24,0.5,0.99,0.99,0,0,0,0,5,0.0,0.0,0.0,92.4,2648,6.3,198,3
91.6,-1.51,54.11,5.63,9,1,1,1.0,0,1,0.03,0.74,0.77,1.97,0,0,0,0,5,0.0,0.0,0.0,92.2,2482,6.4,209,3
90.9,-1.51,53.86,5.6,14,0,1,0.0,0,0,0.22,0.44,0.47,0.34,0,0,0,1,4,0.0,0.0,0.0,91.8,2618,6.6,168,3
92.1,-1.47,53.97,5.56,14,0,1,1.0,2,2,0.55,0.31,0.85,1.89,0,0,0,0,4,0.0,0.0,0.0,93.2,2700,6.5,150,3
90.6,-1.5,54.3,5.73,14,0,1,1.0,1,2,0.46,0.23,1.08,1.56,0,0,0,0,3,0.0,0.0,0.0,90.5,2519,6.2,175,3
91.8,-1.56,54.04,5.5,14,0,1,0.0,1,1,0.35,0.55,0.99,1.07,0,0,0,2,2,0.0,0.0,0.0,92.0,2522,6.5,186,1
91.0,-1.63,53.94,5.51,14,0,1,1.0,2,1,0.19,0.35,0.2,1.18,0,0,0,1,2,0.0,0.0,0.0,91.6,2575,6.6,180,1
92.2,-1.61,53.84,5.7,14,1,1,1.0,1,2,0.16,0.52,1.38,1.4,0,0,0,0,2,0.0,0.0,0.0,92.8,2589,6.7,183,1
92.2,-1.46,53.99,5.63,9,0,1,1.0,3,2,0.3,0.33,0.36,2.16,0,1,0,2,1,361.0,100.4,33.0,92.9,2489,6.5,166,0
91.6,-1.46,53.93,5.59,14,0,1,0.0,1,2,0.35,0.34,0.99,1.54,0,1,0,2,1,0.0,0.0,0.0,92.6,2445,6.6,179,0
92.3,-1.55,53.96,5.57,14,0,1,1.0,0,1,0.21,0.14,0.46,1.13,0,1,0,2,1,0.0,0.0,0.0,92.8,2503,6.5,161,0
93.0,-1.52,54.0,5.58,14,0,1,0.0,1,2,0.33,0.42,0.51,1.21,0,1,0,1,1,0.0,0.0,0.0,93.6,2508,6.5,145,0
91.4,-1.6,53.96,5.63,4,0,1,0.0,0,0,0.42,0.18,-0.68,2.77,0,1,0,1,1,0.0,0.0,0.0,92.6,2552,6.5,159,0
92.1,-1.49,53.95,5.63,9,0,1,1.0,2,2,0.37,0.44,0.71,2.09,0,1,0,0,1,7.0,90.1,-16.0,92.6,2598,6.6,161,0
92.3,-1.65,54.03,5.57,14,0,1,0.0,1,2,0.36,0.43,0.73,0.51,0,1,0,0,1,0.0,0.0,0.0,92.6,2581,6.5,184,0
92.0,-1.53,53.9,5.6,14,0,1,0.0,0,1,0.31,0.48,1.57,0.77,0,1,0,0,1,0.0,0.0,0.0,92.1,2547,6.6,195,0
91.4,-1.69,54.07,5.6,14,0,1,1.0,0,0,0.42,0.28,1.1,1.87,0,1,0,0,1,0.0,0.0,0.0,91.8,2551,6.4,171,0
92.3,-1.51,53.93,5.58,14,0,1,0.0,1,2,0.33,0.42,1.85,0.02,0,0,0,0,1,0.0,0.0,0.0,92.4,2584,6.6,187,0
92.7,-1.39,54.15,5.67,14,1,1,1.0,2,2,0.44,0.36,0.92,2.18,0,0,0,1,6,0.0,0.0,0.0,93.4,2634,6.3,171,-3
93.1,-1.52,54.16,5.7,8,1,1,1.0,2,2,0.15,0.42,0.12,1.71,0,0,0,1,6,3.0,66.3,-37.0,93.6,2716,6.3,181,-3
92.2,-1.32,53.84,5.72,14,1,1,0.0,1,2,0.36,0.42,1.7,1.73,0,0,0,1,6,0.0,0.0,0.0,93.3,2721,6.7,138,-3
94.5,-1.41,54.05,5.65,14,1,1,0.0,0,2,0.14,0.54,1.76,2.04,0,0,0,1,6,0.0,0.0,0.0,94.8,2556,6.4,171,-3
92.0,-1.47,54.03,5.61,9,1,1,0.0,0,1,0.37,0.36,0.42,2.3,0,0,0,2,5,88.0,106.6,4.0,93.1,2534,6.5,145,-3
93.8,-1.51,53.93,5.57,9,1,1,1.0,0,0,0.19,0.38,0.8,1.58,0,0,0,2,5,1.0,67.7,-67.0,94.9,2724,6.6,175,-3
93.2,-1.45,54.13,5.61,14,1,1,1.0,0,2,0.31,0.38,0.84,1.63,0,0,0,1,5,0.0,0.0,0.0,94.1,2732,6.4,178,-3
92.9,-1.4,54.05,5.65,14,1,1,1.0,0,1,0.24,0.42,0.86,1.65,0,0,0,1,5,0.0,0.0,0.0,94.0,2658,6.5,209,-3
92.4,-1.55,53.89,5.52,6,1,1,1.0,0,0,-0.01,0.4,0.7,2.19,0,0,0,1,5,0.0,0.0,0.0,93.6,2589,6.6,194,-3
91.6,-1.59,54.19,5.68,8,1,1,0.0,0,0,0.13,0.57,-0.06,1.55,0,1,1,2,4,52.0,71.4,88.0,92.0,2404,6.3,209,-3
91.4,-1.34,54.13,5.65,9,0,1,1.0,1,2,0.4,0.44,0.29,1.61,0,1,1,1,4,5.0,95.9,-18.0,92.4,2672,6.4,172,-3
92.6,-1.56,54.07,5.57,8,0,1,1.0,1,1,0.39,0.35,0.18,1.82,0,1,1,1,4,0.0,0.0,0.0,93.3,2591,6.4,178,-3
93.0,-1.55,53.98,5.59,9,0,1,1.0,1,0,0.33,0.58,0.74,1.5,0,1,1,1,4,0.0,0.0,0.0,93.9,2648,6.5,192,-3
91.7,-1.47,53.87,5.59,9,1,1,0.0,0,0,0.47,0.5,0.36,1.71,1,1,1,0,4,261.0,89.1,44.0,92.8,2450,6.6,176,-1
90.3,-1.59,54.15,5.64,3,1,1,0.0,0,2,0.33,0.37,0.45,2.93,0,1,1,0,4,0.0,45.9,-82.0,90.6,2523,6.4,158,-1
90.6,-1.58,54.07,5.61,14,0,1,1.0,0,0,0.28,0.48,1.2,1.82,0,1,1,0,4,1.0,0.0,0.0,91.4,2492,6.4,178,-1
91.0,-1.49,54.1,5.58,14,1,1,1.0,0,1,0.37,0.48,1.24,0.93,0,0,0,0,4,0.0,0.0,0.0,91.4,2580,6.4,188,-1
91.3,-1.44,54.02,5.59,14,1,1,1.0,1,0,0.52,0.34,1.02,1.84,0,0,0,2,3,0.0,0.0,0.0,92.0,2707,6.5,182,-1
91.8,-1.41,53.99,5.64,14,0,1,1.0,1,2,0.43,0.18,0.65,1.4,0,0,0,1,3,0.0,0.0,0.0,92.6,2594,6.5,188,-1
91.3,-1.43,53.93,5.55,9,1,1,0.0,0,1,0.37,0.45,0.81,1.76,0,0,1,1,2,0.0,0.0,0.0,92.5,2528,6.6,184,-1
90.8,-1.4,53.85,5.55,14,1,1,0.0,1,2,0.34,0.32,0.86,1.34,0,0,1,0,2,5.0,72.2,-16.0,92.0,2521,6.6,178,-1
93.3,-1.44,54.04,5.57,14,1,1,0.0,0,2,0.2,0.51,1.63,0.67,0,0,1,0,2,0.0,0.0,0.0,94.0,2642,6.5,194,-1
90.7,-1.44,53.87,5.6,5,1,1,1.0,0,2,0.22,0.25,-0.05,2.41,0,0,1,0,2,7.0,81.3,-19.0,91.5,2549,6.6,166,-1
91.5,-1.45,54.11,5.65,8,0,1,1.0,3,2,0.41,0.32,-0.13,2.12,0,0,0,0,2,0.0,0.0,0.0,92.7,2608,6.4,150,0
92.7,-1.39,53.98,5.67,14,0,1,0.0,2,2,0.28,0.36,1.41,0.15,0,0,0,0,2,0.0,0.0,0.0,93.4,2686,6.5,178,0
92.5,-1.59,54.07,5.63,14,0,1,0.0,1,2,0.24,0.26,1.12,0.38,0,0,0,0,2,0.0,0.0,0.0,93.1,2663,6.4,163,0
92.0,-1.28,53.95,5.66,9,1,1,1.0,2,2,0.42,0.3,0.4,1.77,0,0,0,2,1,0.0,0.0,0.0,93.4,2694,6.5,133,0
93.4,-1.35,53.98,5.62,14,1,1,0.0,1,2,0.44,0.39,1.77,1.28,0,0,0,2,1,0.0,0.0,0.0,94.5,2729,6.5,153,0
93.1,-1.44,54.05,5.59,14,1,1,1.0,1,1,0.3,0.38,1.36,0.97,0,0,0,2,1,0.0,0.0,0.0,94.3,2628,6.4,172,0
92.5,-1.46,53.91,5.66,14,1,1,1.0,1,2,0.34,0.3,0.67,1.15,0,0,0,1,1,0.0,0.0,0.0,93.5,2772,6.6,144,0
91.7,-1.46,54.07,5.69,9,1,1,1.0,0,0,0.26,0.39,0.5,1.39,0,0,0,1,1,0.0,0.0,0.0,92.5,2534,6.4,172,0
91.4,-1.42,54.14,5.68,5,0,1,0.0,3,2,0.34,0.35,0.1,2.58,0,0,0,0,1,211.0,77.0,53.0,92.4,2612,6.4,153,0
91.8,-1.43,53.99,5.69,9,0,1,1.0,3,2,0.51,0.3,0.47,2.02,0,0,0,0,1,3.0,89.0,-31.0,93.1,2626,6.5,157,0
93.6,-1.61,53.77,5.55,14,0,1,1.0,2,1,0.15,0.34,0.82,0.97,0,0,0,2,7,0.0,0.0,0.0,95.0,2502,6.7,182,9
92.9,-1.48,53.73,5.66,14,1,1,1.0,1,2,0.28,0.39,0.84,1.47,0,0,0,1,7,0.0,0.0,0.0,94.0,2596,6.8,164,9
92.8,-1.56,53.77,5.56,14,1,1,0.0,0,2,0.14,0.47,0.69,0.57,0,0,0,1,7,0.0,0.0,0.0,93.7,2620,6.7,190,9
93.2,-1.57,53.8,5.66,14,0,1,1.0,2,2,0.33,0.48,0.95,0.67,0,0,0,0,7,0.0,0.0,0.0,94.0,2543,6.7,186,9
92.0,-1.61,53.83,5.59,14,0,1,1.0,1,1,0.19,0.57,0.78,0.35,0,0,0,0,7,0.0,0.0,0.0,92.6,2764,6.7,186,9
92.9,-1.56,53.93,5.55,5,0,1,0.0,2,0,0.34,0.45,-0.23,2.4,0,0,1,2,6,10.0,84.4,-13.0,94.2,2692,6.6,177,7
92.9,-1.6,53.8,5.54,9,1,1,1.0,1,1,0.17,0.43,0.64,1.54,0,0,0,0,6,0.0,0.0,0.0,93.8,2565,6.7,146,7
