pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
SL,78.1,3.03,54.56,5.36,12.0,0,0,0.0,0,0,-0.76,-0.46,1.61,2.53,0,0,1,0,3,0.0,0.0,0.0,77.8,2208.0,5.9,316.0,5
FF,91.1,2.88,54.3,5.42,12.0,1,0,0.0,0,0,1.17,1.11,1.12,2.81,0,0,0,0,3,0.0,0.0,0.0,91.1,2334.0,6.2,108.0,5
CH,87.2,2.97,54.0,5.13,11.0,1,0,0.0,0,0,1.28,1.06,-1.16,3.41,0,1,0,2,2,0.0,0.0,0.0,87.4,2083.0,6.5,100.0,1
FF,93.5,3.0,54.08,5.26,4.0,0,0,1.0,0,0,1.35,1.0,-0.4,2.82,0,0,1,2,2,0.0,0.0,0.0,93.5,2360.0,6.4,113.0,2
FF,93.3,3.01,54.22,5.32,12.0,1,0,0.0,0,0,1.18,1.03,0.58,3.93,0,0,1,1,2,0.0,0.0,0.0,93.3,2367.0,6.3,114.0,2
FF,93.9,3.09,54.18,5.4,5.0,1,0,1.0,0,0,1.42,1.03,-0.23,2.84,0,0,1,0,2,0.0,0.0,0.0,93.8,2434.0,6.3,109.0,2
CH,84.6,3.08,54.47,5.14,7.0,1,0,0.0,0,0,1.6,-0.17,-0.79,1.87,0,0,0,0,2,0.0,0.0,0.0,84.1,2001.0,6.0,152.0,2
SL,74.3,3.0,54.68,5.19,12.0,1,0,0.0,0,0,-1.02,-0.54,1.63,2.81,0,0,0,2,1,0.0,0.0,0.0,73.6,2102.0,5.8,317.0,0
CH,86.4,3.38,54.53,5.01,14.0,1,0,1.0,0,0,1.68,0.09,1.36,2.32,0,0,0,1,1,0.0,0.0,0.0,85.9,2206.0,6.0,95.0,0
FF,93.7,2.91,54.29,5.28,4.0,0,0,1.0,0,0,1.15,1.02,-0.65,2.6,0,0,0,0,1,0.0,0.0,0.0,93.8,2344.0,6.2,107.0,0
FF,92.8,3.02,54.24,5.26,13.0,1,0,0.0,0,0,1.12,1.1,-0.97,2.21,0,0,1,2,5,0.0,0.0,0.0,92.3,2416.0,6.3,120.0,2
