,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
3258,FF,94.2,3.55,54.81,5.49,9.0,1,0,1.0,1,1,1.24,1.15,0.38,2.16,0,0,0,0,5,0.0,0.0,0.0,92.7,2440.0,5.7,130.0,0,1-1
3264,FF,97.4,3.21,54.51,5.58,5.0,1,0,1.0,1,1,1.3,1.24,-0.08,2.66,1,0,1,2,4,0.0,0.0,0.0,96.2,2444.0,6.0,131.0,0,1-1
3280,SL,83.3,3.33,55.09,5.58,7.0,1,0,1.0,1,1,-1.0,-0.32,-0.66,2.0,0,1,1,2,3,0.0,0.0,0.0,81.4,2562.0,5.4,296.0,0,1-1
3306,SL,77.1,3.58,55.28,5.4,7.0,1,0,1.0,1,1,-1.12,-0.48,-0.36,1.89,0,0,0,1,1,0.0,0.0,0.0,75.1,2404.0,5.2,301.0,0,1-1
3312,FF,95.8,3.34,54.5,5.49,4.0,0,0,1.0,1,1,0.97,1.17,-0.37,2.59,0,0,0,2,7,0.0,0.0,0.0,95.2,2365.0,6.0,138.0,0,1-1
3335,SL,79.8,3.36,55.18,5.28,13.0,1,0,0.0,1,1,-1.39,-0.23,-1.07,1.89,0,0,0,0,6,0.0,0.0,0.0,77.9,2587.0,5.3,286.0,0,1-1
3346,SL,79.1,3.1,55.18,5.41,1.0,1,0,1.0,1,1,-1.12,0.07,-0.36,3.36,0,0,0,1,5,0.0,0.0,0.0,77.5,2528.0,5.3,275.0,0,1-1
3352,SL,78.9,3.18,55.15,5.48,13.0,1,0,1.0,1,1,-1.19,-0.41,-0.47,1.01,0,0,0,0,5,0.0,0.0,0.0,77.1,2452.0,5.3,296.0,0,1-1
3356,SL,79.3,3.37,55.12,5.39,12.0,0,0,0.0,1,1,-1.43,0.25,2.35,4.16,0,0,1,1,4,0.0,0.0,0.0,77.8,2549.0,5.4,267.0,0,1-1
3381,SL,78.1,2.92,54.45,5.43,14.0,1,0,0.0,1,1,-0.73,-0.46,0.14,0.85,0,0,1,1,3,0.0,0.0,0.0,77.5,2367.0,6.1,311.0,1,1-1
3395,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1,1,0.0,0.0,0.0,0.0,0,0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1-1
3399,CH,86.2,3.29,54.27,5.16,9.0,0,0,1.0,1,1,1.92,0.66,0.68,2.12,0,0,0,2,2,0.0,0.0,0.0,86.1,1924.0,6.2,106.0,0,1-1
3403,FF,93.1,3.21,54.41,5.49,13.0,1,0,0.0,1,1,1.58,1.31,-1.33,1.6,0,0,0,1,2,0.0,0.0,0.0,92.7,2415.0,6.1,127.0,0,1-1
3407,FF,92.9,3.29,54.65,5.49,12.0,1,0,1.0,1,1,1.57,0.91,1.11,3.3,0,0,0,0,2,0.0,0.0,0.0,91.2,2389.0,5.8,113.0,0,1-1
3414,SI,95.7,3.44,54.73,5.24,9.0,1,0,1.0,1,1,1.64,0.36,0.28,1.93,0,0,0,1,1,0.0,0.0,0.0,94.5,2280.0,5.8,98.0,0,1-1
3418,FF,93.7,3.36,54.68,5.36,5.0,1,0,1.0,1,1,1.17,1.15,-0.07,2.88,0,0,0,0,1,0.0,0.0,0.0,92.3,2295.0,5.8,131.0,0,1-1
3424,FF,97.0,2.97,53.6,5.68,11.0,1,0,0.0,1,1,1.0,1.23,-1.56,3.03,0,1,0,2,8,0.0,0.0,0.0,97.6,2271.0,6.9,138.0,0,1-1
3428,CH,89.0,3.35,54.42,5.38,12.0,1,0,1.0,1,1,1.28,1.11,1.28,2.84,0,0,0,2,8,144.0,70.5,20.0,88.3,2105.0,6.1,127.0,0,1-1
3446,FF,94.2,3.23,54.38,5.34,11.0,1,0,0.0,1,1,1.36,0.87,-1.37,2.4,0,0,1,1,7,0.0,0.0,0.0,92.8,2369.0,6.1,118.0,0,1-1
3474,SL,77.2,3.26,55.19,5.32,14.0,1,0,0.0,1,1,-1.47,-0.47,1.47,1.47,0,0,0,2,5,0.0,0.0,0.0,75.7,2256.0,5.3,294.0,1,1-1
3479,SL,78.3,3.39,55.13,5.4,13.0,1,0,0.0,1,1,-1.13,-0.04,-1.08,2.31,0,0,0,1,5,0.0,0.0,0.0,77.0,2373.0,5.4,280.0,1,1-1
3485,FF,96.9,3.34,54.41,5.52,8.0,1,0,1.0,1,1,1.42,1.0,0.25,1.94,0,0,0,2,4,0.0,0.0,0.0,96.1,2086.0,6.1,122.0,1,1-1
3493,FF,94.8,3.21,54.31,5.53,11.0,1,0,0.0,1,1,1.26,1.17,-0.11,4.54,0,0,0,0,4,0.0,0.0,0.0,94.0,2262.0,6.2,129.0,1,1-1
3505,FF,95.6,3.43,54.69,5.38,4.0,1,0,1.0,1,1,1.39,1.25,-0.75,2.48,0,0,0,1,3,0.0,0.0,0.0,94.2,2419.0,5.8,129.0,1,1-1
3516,CH,86.1,3.4,54.69,5.37,6.0,1,0,1.0,1,1,1.23,1.25,0.79,2.58,0,0,0,0,2,158.0,67.0,27.0,84.7,1941.0,5.8,132.0,1,1-1
3526,FF,94.1,3.34,54.65,5.48,12.0,1,0,0.0,1,1,1.17,1.3,0.03,3.6,0,0,0,0,1,0.0,0.0,0.0,93.4,2220.0,5.8,135.0,0,1-1
3533,FF,94.1,3.27,54.2,5.27,12.0,1,0,1.0,1,1,1.35,1.23,0.93,2.87,0,0,0,2,7,216.0,72.6,29.0,93.3,2322.0,6.3,132.0,0,1-1
3537,SL,75.8,3.41,54.75,5.4,14.0,0,0,0.0,1,1,-0.96,0.22,1.26,2.88,0,0,0,1,7,0.0,0.0,0.0,74.6,2132.0,5.7,257.0,0,1-1
3544,SL,78.8,3.31,54.68,5.33,12.0,1,0,0.0,1,1,-1.33,0.0,1.45,3.35,0,0,0,0,7,0.0,0.0,0.0,77.8,2308.0,5.8,270.0,0,1-1
3548,FF,95.4,3.2,54.11,5.3,13.0,1,0,0.0,1,1,1.46,0.94,-1.26,1.74,0,0,0,2,6,0.0,0.0,0.0,94.7,2363.0,6.4,123.0,0,1-1
3559,SL,76.5,3.49,54.89,5.17,9.0,1,0,0.0,1,1,-0.75,-0.36,0.46,2.14,0,0,0,1,5,333.0,96.1,23.0,75.2,2224.0,5.6,295.0,0,1-1
3567,SL,78.1,3.28,54.72,5.2,8.0,1,0,1.0,1,1,-1.23,-0.18,-0.18,2.27,0,0,0,2,4,0.0,0.0,0.0,76.6,2487.0,5.8,278.0,0,1-1
3586,FF,91.8,3.2,54.19,5.34,6.0,1,0,1.0,1,1,1.37,1.19,0.29,2.59,0,0,1,1,3,0.0,0.0,0.0,90.8,2157.0,6.3,131.0,0,1-1
3599,FF,92.6,3.17,54.35,5.26,13.0,1,0,1.0,1,1,1.19,0.99,-0.92,2.38,0,0,1,2,2,0.0,0.0,0.0,91.7,2215.0,6.2,130.0,0,1-1
3605,SI,91.5,3.3,54.51,5.22,14.0,1,0,1.0,1,1,1.68,0.55,0.35,1.41,0,0,1,1,2,0.0,0.0,0.0,90.5,2064.0,6.0,108.0,0,1-1
3611,SL,80.2,3.36,55.36,5.35,13.0,1,0,0.0,1,1,-1.65,-0.54,-1.17,1.58,0,0,0,1,2,0.0,0.0,0.0,77.9,2236.0,5.1,288.0,0,1-1
3614,FF,94.9,3.05,54.51,5.58,5.0,0,0,0.0,1,1,1.28,1.31,0.24,2.5,0,0,0,0,2,319.0,95.0,18.0,94.0,2224.0,6.0,136.0,0,1-1
3619,SL,79.6,3.31,54.65,5.37,8.0,1,0,1.0,1,1,-1.08,-0.42,0.18,1.9,0,0,0,2,1,0.0,0.0,0.0,78.3,2221.0,5.9,291.0,0,1-1
3625,FF,96.4,3.39,54.45,5.4,13.0,1,0,1.0,1,1,1.35,1.52,-1.2,1.74,0,0,0,1,1,0.0,0.0,0.0,94.9,2420.0,6.0,138.0,0,1-1
3644,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1,1,0.0,0.0,0.0,0.0,1,1,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1-1
3734,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1,1,0.0,0.0,0.0,0.0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1-1
