"","Plate X","Plate Y"
"590",14.52,34.68
"591",9.36,29.52
"592",-7.56,32.64
"593",-7.56,12.6
"594",14.4,35.04
"595",-5.16,16.68
"596",12.6,40.68
"597",-12.96,19.08
"598",-2.88,30.48
"599",-1.68,42.24
"600",9.6,47.52
"601",-0.6,20.16
"602",11.28,47.16
"603",-8.28,29.16
"604",0.72,31.32
"605",-4.32,31.08
"606",-12.24,6.96
"607",19.2,43.68
"608",6,40.32
"609",10.08,45.24
"610",14.52,31.68
"611",-12.96,22.56
"612",9.48,25.56
"613",-4.32,41.16
"614",-8.04,33.6
"615",-0.96,33.6
"616",-12.6,38.52
"617",-0.96,41.64
"618",-13.44,24.6
"619",-7.92,22.44
"620",-5.04,34.44
"621",-10.32,32.4
"622",-10.32,10.92
"623",11.16,27.48
"624",-10.32,22.92
"625",10.2,28.32
"626",0.36,38.28
"627",-11.76,-1.8
"628",-12,20.52
"629",-0.72,32.76
"630",-2.52,8.88
"631",0.84,33.72
"632",-7.68,41.64
"633",-3.12,5.4
"634",-6.84,22.68
"635",-7.92,6.36
"636",-0.12,46.2
"637",11.04,45.72
"638",-8.52,13.08
"639",1.68,48.36
"640",-1.08,16.08
"641",-5.16,47.04
"642",-20.76,12.48
"643",-3.96,40.56
"644",3,25.8
"645",-11.52,17.76
"646",9.12,46.08
"647",-8.88,13.68
"648",-10.44,14.4
"649",4.2,38.52
"650",-2.28,34.44
"651",-8.52,33.72
"652",-8.28,5.16
"653",-2.4,20.4
"654",-2.16,26.76
"655",-5.76,22.56
"656",9.72,36.96
"657",-16.68,15.84
"658",-9.48,22.68
"659",5.76,23.76
"660",6.48,24.72
"661",-8.64,31.92
"662",9.24,38.76
"663",-14.04,16.08
"664",4.32,40.08
"665",-0.12,28.92
"666",-4.44,10.92
"667",1.8,40.44
"668",20.04,43.68
"669",5.16,52.8
"670",-2.28,14.76
"671",-9.36,12.24
"672",-0.24,15.24
"673",-14.76,16.44
"674",-4.56,15.48
"675",5.64,25.92
"676",-7.56,8.88
"677",-18.6,-1.32
"678",1.56,12.24
"679",18,41.4
"680",-2.76,16.32
"681",-11.52,19.44
"682",-9.24,30.36
"683",17.88,48.96
"684",6.96,29.4
"685",10.8,42.96
"686",3.24,46.44
"687",-7.2,14.28
"688",-0.96,41.64
"689",5.76,13.68
"690",5.76,26.28
"691",3.24,43.56
"692",0.72,13.92
"693",-2.4,47.88
"694",-12.36,22.92
"695",3,52.08
"696",1.8,22.8
"697",-5.16,15.24
"698",-7.32,38.76
"699",-8.64,16.08
"700",2.64,30.96
"701",-2.28,22.2
"702",-8.76,14.16
"703",-13.2,25.56
"704",8.76,26.4
"705",-1.92,14.16
"706",-5.64,31.08
"707",9.12,30
"708",7.56,36
"709",8.04,37.32
"710",7.44,33.84
"711",9,41.76
"712",-9.84,38.64
"713",12.84,43.2
"714",14.04,35.4
"715",6.72,26.4
"716",8.04,29.52
"717",4.92,17.4
"718",-6,21
"719",16.56,43.32
"720",14.52,19.2
"721",-10.68,11.04
"722",1.8,47.64
"723",1.44,45.96
"724",-15.6,12.36
"725",9.12,37.92
"726",8.16,19.56
"727",6.12,35.88
"728",11.28,27.12
"729",-5.64,12.12
"730",14.64,31.44
"731",-8.04,38.88
"732",1.2,19.44
"733",5.28,46.44
"734",1.2,37.32
"735",0.24,35.28
"736",-0.36,28.56
"737",1.68,35.64
"738",3.48,47.16
"739",4.44,41.64
"740",0,25.92
"741",-7.44,42.36
"742",-6.24,46.56
"743",2.76,33
"744",9.12,35.28
"745",3.36,24.48
"746",13.32,30.96
"747",4.2,23.4
"748",-5.88,39.96
"749",8.04,34.56
"750",12.36,45
"751",3.48,22.44
"752",-8.28,31.56
"753",0.72,33.24
"754",10.68,38.88
"755",5.4,36.84
"756",-0.48,43.68
"757",-9.84,26.76
"758",14.88,40.68
"759",-17.52,25.68
"760",-5.28,23.16
"761",7.08,26.4
"762",-6.12,30.48
"763",-15,27.24
"764",-5.88,26.88
"765",-6.12,37.56
"766",-7.44,30.12
"767",11.52,40.44
"768",-10.68,2.88
"769",-4.92,30.84
"770",12.48,34.08
"771",5.52,43.8
"772",-10.56,21.12
"773",3,43.92
"774",-13.92,20.4
"775",7.32,26.52
"776",-6.48,29.76
"777",3.96,38.88
"778",5.4,27.96
"779",-5.88,16.08
"780",-12.84,38.04
"781",13.08,40.08
"782",6,45.72
"783",0.48,7.2
"784",4.44,31.68
"785",4.56,36.84
"786",11.04,45.72
"787",-0.84,35.76
"788",-12.72,4.2
"789",3.24,17.4
"790",1.32,29.04
"791",-17.64,14.4
"792",-3.24,21.96
"793",-2.76,19.08
"794",-5.76,29.52
"795",5.88,41.4
"796",6.24,18.6
"797",8.28,26.88
"798",-0.12,24
"799",8.4,15.12
"800",0.12,9.6
"801",-11.64,17.16
"802",-8.04,23.28
"803",10.44,28.68
"804",0,41.04
"805",2.16,23.76
"806",-9.24,5.76
"807",9.36,41.4
"808",4.56,20.04
"809",1.08,28.2
"810",-1.08,23.76
"811",-7.32,23.28
"812",6.72,15.96
"813",-6.6,40.44
"814",7.08,22.92
"815",-4.2,17.4
"816",-9.36,17.76
"817",-24.48,3
"818",10.08,50.16
"819",4.32,24.24
"820",-13.2,14.04
"821",12.84,27.96
"822",12.48,19.8
"823",-9,18.24
"824",-7.68,26.76
"825",1.8,40.32
"826",10.44,24.6
"827",-5.4,20.16
"828",-5.64,14.4
"829",-8.64,27.36
"830",-5.04,29.04
"831",10.8,14.4
"832",-9.36,32.16
"833",-9.48,31.44
"834",16.32,21.36
"835",0.84,33.48
"836",7.08,32.52
"837",-9.84,12.12
"838",11.52,42.84
"839",19.32,31.2
"840",2.4,44.16
"841",-2.88,25.32
"842",-19.2,14.16
"843",2.04,35.52
"844",-20.28,10.44
"845",-6.6,12.84
"846",0.96,40.8
"847",-17.76,13.32
"848",-9.84,38.04
"849",-0.96,23.16
"850",-12.48,11.28
"851",1.68,40.56
"852",-5.16,21
"853",-12.84,21.84
"854",7.68,31.44
"855",-9.24,15.36
"856",-0.96,37.68
"857",-14.04,17.76
"858",-9.72,26.4
"859",0.6,18.24
"860",-0.96,33.6
"861",-3.12,36.6
"862",6.48,41.04
"863",2.4,36.96
"864",0,22.32
"865",1.08,15.48
"866",-9.6,23.52
"867",-7.92,22.92
"868",-17.76,26.4
"869",6.24,29.04
"870",-17.64,10.68
"871",-5.4,3.96
"872",7.44,43.08
"873",-2.88,21.48
"874",-7.32,22.32
"875",12,21.96
"876",3.96,24.36
"877",-17.52,12.24
"878",3.48,25.68
"879",12.24,37.56
"880",-8.04,38.28
"881",13.2,25.32
"882",18.48,24.84
"883",-14.4,9.84
"884",-6.96,17.04
"885",8.16,43.08
"886",-9.96,31.68
"887",1.2,19.56
"888",13.32,22.92
"889",4.2,39
"890",0.36,22.92
"891",6.6,37.08
"892",-6.12,36.12
"893",-4.68,14.04
"894",4.92,37.68
"895",-18.72,22.32
"896",8.64,35.88
"897",4.08,44.28
"898",-4.56,36.96
"899",14.76,45.96
"900",-4.08,24.12
"901",-0.36,29.76
"902",-14.76,14.76
